type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,icao_code,iata_code,timezone
medium_airport,Fallon Naval Air Station,39.41659927,-118.7009964,NA,US,US-NV,Fallon,KNFL,NFL,America/Los_Angeles
medium_airport,NAS Fort Worth JRB / Carswell Field,32.769199,-97.441498,NA,US,US-TX,Fort Worth,KNFW,FWH,America/Chicago
medium_airport,Naval Air Station Corpus Christi Truax Field,27.6926,-97.2911,NA,US,US-TX,Corpus Christi,KNGP,NGP,America/Chicago
medium_airport,Norfolk Naval Station (Chambers Field),36.937599,-76.289299,NA,US,US-VA,Norfolk,KNGU,NGU,America/New_York
small_airport,Cabaniss Field Naval Outlying Landing Field,27.704426,-97.440578,NA,US,US-TX,Corpus Christi,KNGW,NGW,America/Chicago
medium_airport,Patuxent River Naval Air Station (Trapnell Field),38.285999,-76.411797,NA,US,US-MD,Patuxent River,KNHK,NHK,America/New_York
medium_airport,Jacksonville Naval Air Station (Towers Field),30.2358,-81.680603,NA,US,US-FL,Jacksonville,KNIP,NIP,America/New_York
medium_airport,El Centro NAF Airport (Vraciu Field),32.829201,-115.671996,NA,US,US-CA,El Centro,KNJK,NJK,America/Los_Angeles
medium_airport,Miramar Marine Corps Air Station - Mitscher Field,32.86840057,-117.1429977,NA,US,US-CA,San Diego,KNKX,NKX,America/Los_Angeles
medium_airport,Lemoore Naval Air Station (Reeves Field) Airport,36.33300018,-119.9520035,NA,US,US-CA,Lemoore,KNLC,NLC,America/Los_Angeles
medium_airport,Naval Air Station Pensacola Forrest Sherman Field,30.352699,-87.318604,NA,US,US-FL,Pensacola,KNPA,NPA,America/Chicago
medium_airport,Millington-Memphis Airport,35.356701,-89.8703,NA,US,US-TN,Millington,KNQA,NQA,America/Chicago
medium_airport,Kingsville Naval Air Station,27.5072002411,-97.8097000122,NA,US,US-TX,Kingsville,KNQI,NQI,America/Chicago
medium_airport,Naval Air Station Key West/Boca Chica Field,24.57579994,-81.68890381,NA,US,US-FL,Key West,KNQX,NQX,America/New_York
medium_airport,Naval Station Mayport / Admiral David L McDonald Field,30.3911,-81.424698,NA,US,US-FL,Jacksonville,KNRB,NRB,America/New_York
small_airport,Naval Outlying Field Imperial Beach (Ream Field),32.5667,-117.116997,NA,US,US-CA,Imperial Beach,KNRS,NRS,America/Los_Angeles
medium_airport,Whiting Field Naval Air Station - North,30.7241993,-87.02189636,NA,US,US-FL,Milton,KNSE,NSE,America/Chicago
medium_airport,Point Mugu Naval Air Station (Naval Base Ventura Co),34.120300293,-119.121002197,NA,US,US-CA,Point Mugu,KNTD,NTD,America/Los_Angeles
medium_airport,Oceana Naval Air Station,36.820702,-76.033501,NA,US,US-VA,Virginia Beach,KNTU,NTU,America/New_York
medium_airport,Moffett Federal Airfield,37.4161,-122.049004,NA,US,US-CA,Mountain View,KNUQ,NUQ,America/Los_Angeles
medium_airport,Whidbey Island Naval Air Station (Ault Field),48.351799,-122.655998,NA,US,US-WA,Oak Harbor,KNUW,NUW,America/Los_Angeles
small_airport,Nevada Municipal Airport,37.8521,-94.304901,NA,US,US-MO,Nevada,KNVD,NVD,America/Chicago
medium_airport,Quantico Marine Corps Airfield / Turner Field,38.501701,-77.305298,NA,US,US-VA,Quantico,KNYG,NYG,America/New_York
medium_airport,Yuma International Airport / Marine Corps Air Station Yuma,32.650938,-114.609375,NA,US,US-AZ,Yuma,KNYL,YUM,America/Phoenix
medium_airport,North Island Naval Air Station-Halsey Field,32.69919968,-117.2149963,NA,US,US-CA,San Diego,KNZY,NZY,America/Los_Angeles
small_airport,Nervino Airport,39.818501,-120.352997,NA,US,US-CA,Beckwourth,,NVN,America/Los_Angeles
small_airport,Columbia Airport,38.030399322499996,-120.415000916,NA,US,US-CA,Columbia,,COA,America/Los_Angeles
small_airport,Oakdale Airport,37.75630188,-120.8000031,NA,US,US-CA,Oakdale,,ODC,America/Los_Angeles
small_airport,Yerington Municipal Airport,39.0041007996,-119.157997131,NA,US,US-NV,Yerington,,EYR,America/Los_Angeles
medium_airport,Albert J Ellis Airport,34.829201,-77.612099,NA,US,US-NC,Richlands,KOAJ,OAJ,America/New_York
large_airport,San Francisco Bay Oakland International Airport,37.720085,-122.221184,NA,US,US-CA,Oakland,KOAK,OAK,America/Los_Angeles
small_airport,Marina Municipal Airport,36.68190002,-121.762001,NA,US,US-CA,Marina,KOAR,OAR,America/Los_Angeles
small_airport,Okeechobee County Airport,27.262800216699997,-80.8498001099,NA,US,US-FL,Okeechobee,KOBE,OBE,America/New_York
small_airport,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,NA,US,US-FL,Ocala,KOCF,OCF,America/New_York
small_airport,A L Mangham Jr. Regional Airport,31.57799911,-94.70950317,NA,US,US-TX,Nacogdoches,KOCH,OCH,America/Chicago
small_airport,Warren Field,35.570499420166,-77.049797058105,NA,US,US-NC,Washington,KOCW,OCW,America/New_York
small_airport,Odessa Schlemeyer Field,31.920601,-102.387001,NA,US,US-TX,Odessa,,ODT,America/Chicago
small_airport,O'Neal Airport,38.68521,-87.543138,NA,US,US-IL,Lawrenceville,,OEA,America/Chicago
small_airport,L O Simenstad Municipal Airport,45.310001373291,-92.691902160645,NA,US,US-WI,Osceola,KOEO,OEO,America/Chicago
medium_airport,Offutt Air Force Base,41.119307,-95.90851,NA,US,US-NE,Omaha,KOFF,OFF,America/Chicago
medium_airport,Karl Stefan Memorial Airport,41.985500335693,-97.435096740723,NA,US,US-NE,Norfolk,KOFK,OFK,America/Chicago
small_airport,Ogallala Municipal Airport Searle Field,41.119499,-101.769997,NA,US,US-NE,Ogallala,KOGA,OGA,America/Denver
medium_airport,Orangeburg Municipal Airport,33.456798553467,-80.859497070312,NA,US,US-SC,Orangeburg,KOGB,OGB,America/New_York
medium_airport,Ogden Hinckley Airport,41.195899963379,-112.0120010376,NA,US,US-UT,Ogden,KOGD,OGD,America/Denver
medium_airport,Ogdensburg International Airport,44.6819,-75.4655,NA,US,US-NY,Ogdensburg,KOGS,OGS,America/New_York
small_airport,Lt Warren Eaton Airport,42.566600799561,-75.524101257324,NA,US,US-NY,Norwich,KOIC,OIC,America/New_York
small_airport,Johnson County Executive Airport,38.84759903,-94.73760223,NA,US,US-KS,Olathe,KOJC,OJC,America/Chicago
small_airport,Oceanside Municipal Airport,33.217947,-117.351683,NA,US,US-CA,Oceanside,KOKB,OCN,America/Los_Angeles
large_airport,Will Rogers World Airport,35.393388,-97.598248,NA,US,US-OK,Oklahoma City,KOKC,OKC,America/Chicago
small_airport,AJ Eisenberg Airport,48.251499176,-122.674003601,NA,US,US-WA,Oak Harbor,KOKH,ODW,America/Los_Angeles
small_airport,Kokomo Municipal Airport,40.528198242188,-86.05899810791,NA,US,US-IN,Kokomo,KOKK,OKK,America/Indiana/Indianapolis
small_airport,Okmulgee Regional Airport,35.668098449707,-95.948699951172,NA,US,US-OK,Okmulgee,KOKM,OKM,America/Chicago
small_airport,Garden County Airport/King Rhiley Field,41.401001,-102.355003,NA,US,US-NE,Oshkosh,KOKS,OKS,America/Denver
small_airport,Winchester Regional Airport,39.14350128,-78.14440155,NA,US,US-VA,Winchester,KOKV,WGO,America/New_York
